order_id,order_date,cuisine,price,restaurant_id,order_time,pickup_time,delivered_time,day,quantity,order_value,customer_id,restaurant_lat,restaurant_lon,customer_lat,customer_lon,distance_km,repeat_order,status,payment_method,delivery_minutes,rating
ORD2022000001,24-11-2022,Chinese,625.6,R5,06:06,06:14,07:30,Sunday,2,457.2,C061,11.37,58.76,10.19,70.77,1.42,Yes,Delivered,UPI,84,4
ORD2022000002,25-07-2022,Indian,816.16,R3,21:25,21:31,22:30,Thursday,2,321.98,C014,12.43,74.88,10.32,61.66,5.53,Yes,Delivered,Cash,65,3
ORD2022000003,21-05-2022,Mexican,619.26,R47,13:49,13:56,15:25,Thursday,1,523.72,C063,10.5,62.62,10.3,58.77,4.67,Yes,Cancelled,Cash,96,3
ORD2022000004,26-02-2022,Thai,721.4,R28,23:55,00:01,01:47,Saturday,3,328.6,C093,11.9,67.13,10.19,68.42,3.72,Yes,Delivered,UPI,112,3
ORD2022000005,25-07-2022,Dessert,766.63,R23,20:56,21:06,21:38,Sunday,1,481.22,C075,10.35,62.63,9.95,75.83,4.17,Yes,Delivered,UPI,42,2
ORD2022000006,02-03-2022,Dessert,98.82,R5,10:18,10:23,11:06,Sunday,3,235.45,C059,12.22,69.92,11.11,61.11,3.47,Yes,Delivered,Cash,48,4
ORD2022000007,18-08-2022,Italian,265.47,R32,22:45,22:50,23:52,Tuesday,1,381.14,C066,12.01,59.15,10.93,57.34,5.15,Yes,Delivered,UPI,67,3
ORD2022000008,11-07-2022,Indian,817.39,R47,21:09,21:22,22:00,Monday,2,502.65,C098,9.66,74.12,10.17,69.35,1.93,Yes,Delivered,UPI,51,4
ORD2022000009,16-05-2022,Burgers,732.45,R16,19:14,19:24,20:05,Friday,1,545.92,C084,11.76,63.1,11.15,72.51,1.31,Yes,Delivered,UPI,51,3
ORD2022000010,11-09-2022,Burgers,434.11,R26,01:06,01:13,01:59,Thursday,1,636.97,C074,10.11,64.25,9.87,73.79,2.97,Yes,Delivered,UPI,53,3
ORD2022000011,08-11-2022,Dessert,222.11,R32,11:27,11:39,12:00,Tuesday,1,381.14,C066,12.01,59.15,10.93,57.34,5.15,Yes,Delivered,UPI,33,3
ORD2022000012,14-09-2022,Thai,732.72,R26,06:03,06:09,07:15,Saturday,3,612.66,C055,10.63,56.93,9.52,71.45,4.05,Yes,Delivered,UPI,72,3
ORD2022000013,27-06-2022,Dessert,376.7,R2,02:35,02:45,04:31,Saturday,3,361.86,C100,11.67,64.11,12.57,58.78,3.79,Yes,Delivered,Cash,116,4
ORD2022000014,12-01-2022,Italian,692.66,R49,12:43,12:49,13:28,Monday,2,316.52,C098,10.64,57.71,11.18,71.87,4.45,No,Delivered,UPI,45,3
ORD2022000015,24-01-2022,Dessert,695.12,R6,00:38,00:50,02:14,Saturday,2,621.32,C087,9.99,73.81,11.4,61.87,4.45,No,Cancelled,UPI,96,4
ORD2022000016,08-12-2022,Burgers,213.26,R34,19:14,19:26,19:48,Tuesday,1,632.13,C099,10.98,67.96,12.4,75.79,5.09,Yes,Delivered,UPI,34,4
ORD2022000017,19-01-2022,Italian,622.97,R39,01:56,02:10,03:42,Saturday,2,767.66,C073,9.61,63.37,10.55,72.14,4.26,Yes,Delivered,UPI,106,3
ORD2022000018,10-09-2022,Thai,352.91,R5,18:16,18:30,19:35,Sunday,2,457.2,C061,11.37,58.76,10.19,70.77,1.42,Yes,Delivered,UPI,79,3
ORD2022000019,24-08-2022,Mexican,652.52,R47,07:19,07:33,08:51,Monday,2,502.65,C098,9.66,74.12,10.17,69.35,1.93,Yes,Delivered,UPI,92,4
ORD2022000020,05-11-2022,Indian,707.48,R37,02:58,03:04,03:35,Friday,1,661.21,C034,9.88,69,12.26,60.12,2.51,Yes,Delivered,UPI,37,3
ORD2022000021,13-03-2022,Burgers,148.69,R9,14:39,14:52,16:27,Saturday,3,264.62,C021,11.26,57.24,10.49,70.16,1.47,Yes,Delivered,UPI,108,3
ORD2022000022,03-11-2022,Dessert,199.53,R4,07:12,07:17,08:37,Wednesday,2,612.58,C092,10.56,70.16,9.87,72.92,4.76,Yes,Delivered,Cash,85,3
ORD2022000023,10-05-2022,Dessert,102.39,R27,11:31,11:36,12:55,Saturday,1,627.03,C024,10.72,71.98,9.46,60.29,4.38,Yes,Delivered,UPI,84,4
